iter	Passed	Remaining
409	4024	5791
410	4033	5779
411	4040	5766
412	4049	5755
413	4058	5744
414	4067	5734
415	4078	5725
416	4086	5712
417	4097	5704
418	4109	5698
419	4118	5687
420	4131	5681
421	4143	5674
422	4152	5663
423	4163	5656
424	4173	5647
425	4183	5637
426	4195	5629
427	4203	5617
428	4212	5606
429	4219	5592
430	4227	5581
431	4234	5567
432	4243	5556
433	4249	5542
434	4259	5532
435	4266	5519
436	4275	5508
437	4282	5494
438	4292	5485
439	4300	5473
440	4311	5464
441	4320	5454
442	4329	5444
443	4339	5434
444	4347	5422
445	4360	5415
446	4368	5404
447	4378	5394
448	4389	5386
449	4397	5374
450	4408	5366
451	4415	5353
452	4425	5344
453	4434	5332
454	4443	5322
455	4452	5311
456	4460	5300
457	4467	5287
458	4476	5276
459	4484	5264
460	4493	5253
461	4501	5241
462	4509	5229
463	4518	5219
464	4526	5207
465	4534	5196
466	4543	5185
467	4554	5177
468	4563	5166
469	4574	5158
470	4587	5152
471	4597	5142
472	4608	5134
473	4617	5123
474	4626	5113
475	4637	5104
476	4645	5093
477	4656	5085
478	4666	5075
479	4676	5065
480	4688	5058
481	4697	5048
482	4706	5038
483	4715	5027
484	4725	5017
485	4734	5007
486	4742	4995
487	4751	4985
488	4758	4972
489	4766	4960
490	4774	4949
491	4784	4940
492	4791	4928
493	4802	4919
494	4810	4907
495	4821	4899
496	4829	4887
497	4838	4877
498	4847	4867
499	4855	4855
500	4864	4845
501	4872	4834
502	4883	4825
503	4891	4813
504	4902	4805
505	4911	4794
506	4919	4784
507	4930	4775
508	4938	4763
509	4947	4753
510	4954	4741
511	4961	4729
512	4969	4717
513	4978	4706
514	4986	4695
515	4993	4684
516	5002	4673
517	5010	4662
518	5019	4651
519	5027	4640
520	5035	4629
521	5042	4617
522	5050	4606
523	5059	4595
524	5067	4584
525	5075	4573
526	5083	4562
527	5090	4550
528	5098	4539
529	5105	4527
530	5115	4517
531	5124	4508
532	5135	4499
533	5147	4492
534	5155	4480
535	5166	4472
536	5177	4463
537	5187	4454
538	5196	4444
539	5209	4437
540	5218	4427
541	5231	4420
542	5244	4414
543	5254	4404
544	5263	4394
545	5273	4385
546	5283	4375
547	5298	4370
548	5312	4364
549	5326	4357
550	5337	4349
551	5349	4341
552	5360	4333
553	5372	4325
554	5382	4315
555	5394	4307
556	5404	4298
557	5413	4287
558	5426	4280
559	5438	4272
560	5445	4261
561	5456	4252
562	5468	4244
563	5477	4234
564	5487	4224
565	5495	4213
566	5507	4206
567	5520	4198
568	5530	4188
569	5544	4182
570	5572	4186
571	5601	4191
572	5625	4192
573	5655	4197
574	5675	4194
575	5701	4196
576	5716	4190
577	5735	4187
578	5754	4184
579	5769	4177
580	5784	4171
581	5803	4167
582	5820	4163
583	5838	4158
584	5855	4153
585	5870	4147
586	5883	4139
587	5898	4132
588	5912	4125
589	5926	4118
590	5936	4108
591	5949	4100
592	5961	4091
593	5976	4085
594	5990	4077
595	6004	4070
596	6033	4072
597	6051	4068
598	6069	4063
599	6088	4058
600	6115	4059
601	6133	4055
602	6151	4050
603	6168	4044
604	6187	4039
605	6208	4036
606	6223	4029
607	6236	4020
